intent,example_sentence,response_template
greeting,Merhaba,Merhaba! Size nasıl yardımcı olabilirim?
greeting,Selam,Selam! Sağlık konularında size yardımcı olmak için buradayım.
greeting,İyi günler,İyi günler! Size nasıl yardımcı olabilirim?
greeting,Günaydın,Günaydın! Bugün size nasıl yardımcı olabilirim?
greeting,İyi akşamlar,İyi akşamlar! Size nasıl yardımcı olabilirim?
greeting,Hoş geldiniz,Hoş bulduk! Sağlık konularında size yardımcı olmak için buradayım.
greeting,Merhaba doktor,Merhaba! Ben bir sağlık danışmanı chatbot'uyum. Size nasıl yardımcı olabilirim?
greeting,Hey,Merhaba! Size nasıl yardımcı olabilirim?
greeting,Selamün aleyküm,Aleykümselam! Size nasıl yardımcı olabilirim?
greeting,Hi,Merhaba! Size nasıl yardımcı olabilirim?
greeting,Hello,Merhaba! Size nasıl yardımcı olabilirim?
greeting,Merhabalar,Merhaba! Size nasıl yardımcı olabilirim?
greeting,Selamlar,Selam! Sağlık konularında yardımcı olmak için buradayım.
greeting,İyi sabahlar,İyi sabahlar! Size nasıl yardımcı olabilirim?
greeting,Merhaba hemşire,Merhaba! Ben sağlık danışmanı chatbot'uyum. Yardımcı olabilirim.
greeting,Selam doktor,Selam! Sağlık konularında size yardımcı olmak için buradayım.
greeting,Merhaba bot,Merhaba! Sağlık danışmanı olarak size yardımcı olabilirim.
greeting,Bana yardım et,Tabii ki! Size nasıl yardımcı olabilirim?
greeting,Yardım lazım,Elbette! Size nasıl yardımcı olabilirim?
greeting,Merhaba size bir sorum var,Merhaba! Sorularınızı cevaplamak için buradayım.
greeting,Selamün aleyküm,Hoş geldiniz! Sağlık konularında yardımcı olabilirim.
greeting,İyi geceler,Selam! Sağlık konularında size yardımcı olmak için buradayım.
greeting,Size sormak istediğim var,İyi günler! Size nasıl yardımcı olabilirim?
greeting,Hayırlı akşamlar,Merhaba! Size nasıl yardımcı olabilirim?
greeting,Hayırlı günler,Selam! Sağlık konularında size yardımcı olmak için buradayım.
greeting,Selam hemşire,Hoş geldiniz! Sağlık konularında yardımcı olabilirim.
greeting,Günaydın,Merhaba! Size nasıl yardımcı olabilirim?
greeting,Merhaba doktor,Selam! Sağlık konularında size yardımcı olmak için buradayım.
greeting,Hayırlı günler,Hoş geldiniz! Sağlık konularında yardımcı olabilirim.
greeting,Merhaba,Merhaba! Size nasıl yardımcı olabilirim?
greeting,Nasılsın,Selam! Sağlık konularında size yardımcı olmak için buradayım.
greeting,Hoşgeldiniz,İyi günler! Size nasıl yardımcı olabilirim?
greeting,Selam hemşire,Merhaba! Size nasıl yardımcı olabilirim?
greeting,İyi akşamlar hemşire,İyi günler! Size nasıl yardımcı olabilirim?
greeting,İyi sabahlar,İyi günler! Size nasıl yardımcı olabilirim?
greeting,Selam hemşire,İyi günler! Size nasıl yardımcı olabilirim?
greeting,Nasılsınız,İyi günler! Size nasıl yardımcı olabilirim?
greeting,Merhaba doktor,Hoş geldiniz! Sağlık konularında yardımcı olabilirim.
greeting,Yardım lazım,Selam! Sağlık konularında size yardımcı olmak için buradayım.
greeting,Selam hemşire,İyi günler! Size nasıl yardımcı olabilirim?
greeting,Selamlar,İyi günler! Size nasıl yardımcı olabilirim?
greeting,İyi akşamlar,İyi günler! Size nasıl yardımcı olabilirim?
greeting,Merhaba bot,Merhaba! Size nasıl yardımcı olabilirim?
greeting,Merhaba doktor,Merhaba! Size nasıl yardımcı olabilirim?
greeting,Hayırlı günler,Selam! Sağlık konularında size yardımcı olmak için buradayım.
greeting,Nasılsınız,Selam! Sağlık konularında size yardımcı olmak için buradayım.
greeting,Merhaba,İyi günler! Size nasıl yardımcı olabilirim?
greeting,Nasılsın,Merhaba! Size nasıl yardımcı olabilirim?
greeting,Selamün aleyküm,Selam! Sağlık konularında size yardımcı olmak için buradayım.
greeting,Merhabalar,Hoş geldiniz! Sağlık konularında yardımcı olabilirim.
greeting,Selam,İyi günler! Size nasıl yardımcı olabilirim?
greeting,Size sormak istediğim var,İyi günler! Size nasıl yardımcı olabilirim?
greeting,Günaydın,İyi günler! Size nasıl yardımcı olabilirim?
greeting,Size bir sorum var,Merhaba! Size nasıl yardımcı olabilirim?
greeting,Sağlık konusunda yardım,İyi günler! Size nasıl yardımcı olabilirim?
greeting,Merhaba,Hoş geldiniz! Sağlık konularında yardımcı olabilirim.
greeting,Yardım lazım,Merhaba! Size nasıl yardımcı olabilirim?
greeting,Selam,Selam! Sağlık konularında size yardımcı olmak için buradayım.
greeting,İyi sabahlar,Selam! Sağlık konularında size yardımcı olmak için buradayım.
greeting,Hey,Hoş geldiniz! Sağlık konularında yardımcı olabilirim.
greeting,Selamün aleyküm,Merhaba! Size nasıl yardımcı olabilirim?
greeting,Selam hemşire,Hoş geldiniz! Sağlık konularında yardımcı olabilirim.
greeting,Selamün aleyküm,Selam! Sağlık konularında size yardımcı olmak için buradayım.
greeting,Size sormak istediğim var,Merhaba! Size nasıl yardımcı olabilirim?
greeting,Selamün aleyküm,Merhaba! Size nasıl yardımcı olabilirim?
greeting,Bana yardım edebilir misiniz,Hoş geldiniz! Sağlık konularında yardımcı olabilirim.
greeting,Hello,Selam! Sağlık konularında size yardımcı olmak için buradayım.
greeting,Merhaba doktor,Merhaba! Size nasıl yardımcı olabilirim?
greeting,Size sormak istediğim var,İyi günler! Size nasıl yardımcı olabilirim?
greeting,Hoşgeldiniz,Hoş geldiniz! Sağlık konularında yardımcı olabilirim.
greeting,İyi akşamlar hemşire,Hoş geldiniz! Sağlık konularında yardımcı olabilirim.
greeting,İyi akşamlar hemşire,Selam! Sağlık konularında size yardımcı olmak için buradayım.
greeting,Günaydın,Hoş geldiniz! Sağlık konularında yardımcı olabilirim.
greeting,Hoşgeldiniz,İyi günler! Size nasıl yardımcı olabilirim?
greeting,Yardım lazım,Hoş geldiniz! Sağlık konularında yardımcı olabilirim.
greeting,Nasılsın,İyi günler! Size nasıl yardımcı olabilirim?
greeting,Hello,Selam! Sağlık konularında size yardımcı olmak için buradayım.
greeting,Selam doktor,Selam! Sağlık konularında size yardımcı olmak için buradayım.
greeting,Merhaba bot,İyi günler! Size nasıl yardımcı olabilirim?
greeting,Günaydın,Merhaba! Size nasıl yardımcı olabilirim?
greeting,Merhaba bot,Selam! Sağlık konularında size yardımcı olmak için buradayım.
greeting,Nasılsınız,Hoş geldiniz! Sağlık konularında yardımcı olabilirim.
greeting,Hoşgeldiniz,Selam! Sağlık konularında size yardımcı olmak için buradayım.
greeting,Nasılsın,Hoş geldiniz! Sağlık konularında yardımcı olabilirim.
greeting,Selam,İyi günler! Size nasıl yardımcı olabilirim?
greeting,Hayırlı günler,Merhaba! Size nasıl yardımcı olabilirim?
greeting,Nasılsın,Hoş geldiniz! Sağlık konularında yardımcı olabilirim.
greeting,Danışmanlık lazım,Merhaba! Size nasıl yardımcı olabilirim?
greeting,Nasılsın,Merhaba! Size nasıl yardımcı olabilirim?
greeting,Allah'tan razı olayım,Hoş geldiniz! Sağlık konularında yardımcı olabilirim.
greeting,Danışmanlık lazım,Merhaba! Size nasıl yardımcı olabilirim?
greeting,Danışmanlık lazım,Hoş geldiniz! Sağlık konularında yardımcı olabilirim.
greeting,İyi akşamlar,Hoş geldiniz! Sağlık konularında yardımcı olabilirim.
greeting,Merhaba doktor,Hoş geldiniz! Sağlık konularında yardımcı olabilirim.
greeting,İyi sabahlar,Hoş geldiniz! Sağlık konularında yardımcı olabilirim.
greeting,Merhaba,Hoş geldiniz! Sağlık konularında yardımcı olabilirim.
greeting,Merhaba size bir şey soracağım,Selam! Sağlık konularında size yardımcı olmak için buradayım.
greeting,Sağlık konusunda yardım,Hoş geldiniz! Sağlık konularında yardımcı olabilirim.
greeting,Merhaba,Hoş geldiniz! Sağlık konularında yardımcı olabilirim.
greeting,Size sormak istediğim var,Hoş geldiniz! Sağlık konularında yardımcı olabilirim.
greeting,Bana yardım edebilir misiniz,Hoş geldiniz! Sağlık konularında yardımcı olabilirim.
greeting,Merhaba size bir şey soracağım,İyi günler! Size nasıl yardımcı olabilirim?
greeting,Selamün aleyküm,Hoş geldiniz! Sağlık konularında yardımcı olabilirim.
greeting,Danışmanlık lazım,Selam! Sağlık konularında size yardımcı olmak için buradayım.
greeting,Bana yardım edebilir misiniz,Selam! Sağlık konularında size yardımcı olmak için buradayım.
greeting,Selamün aleyküm,Hoş geldiniz! Sağlık konularında yardımcı olabilirim.
greeting,Selam hemşire,Hoş geldiniz! Sağlık konularında yardımcı olabilirim.
greeting,Hi,Hoş geldiniz! Sağlık konularında yardımcı olabilirim.
greeting,Sağlık olsun,Selam! Sağlık konularında size yardımcı olmak için buradayım.
greeting,Size sormak istediğim var,Hoş geldiniz! Sağlık konularında yardımcı olabilirim.
greeting,Selam,İyi günler! Size nasıl yardımcı olabilirim?
greeting,İyi geceler,Hoş geldiniz! Sağlık konularında yardımcı olabilirim.
greeting,Sağlık olsun,Selam! Sağlık konularında size yardımcı olmak için buradayım.
greeting,Merhabalar,Merhaba! Size nasıl yardımcı olabilirim?
greeting,Hi,İyi günler! Size nasıl yardımcı olabilirim?
greeting,Yardım lazım,Merhaba! Size nasıl yardımcı olabilirim?
greeting,Günaydın,Selam! Sağlık konularında size yardımcı olmak için buradayım.
greeting,Selam,Selam! Sağlık konularında size yardımcı olmak için buradayım.
greeting,Danışmanlık lazım,İyi günler! Size nasıl yardımcı olabilirim?
greeting,İyi geceler,Hoş geldiniz! Sağlık konularında yardımcı olabilirim.
goodbye,Hoşçakal,Hoşçakalın! Sağlıklı günler dilerim.
goodbye,Güle güle,Güle güle! Geçmiş olsun ve sağlıklı kalın.
goodbye,İyi günler,İyi günler! Sağlıklı kalın.
goodbye,Görüşürüz,Görüşmek üzere! Sağlıklı günler dilerim.
goodbye,Bay bay,Hoşçakalın! Sağlıklı kalın.
goodbye,Teşekkürler,Rica ederim! Sağlıklı günler dilerim.
goodbye,Sağ ol,Rica ederim! Her zaman yardıma hazırım.
goodbye,Çok teşekkürler,Bu kadar naziksiniz! Sağlıklı kalın.
goodbye,Yardım için teşekkürler,Rica ederim! Size yardımcı olabildiysem ne mutlu bana.
goodbye,Elveda,Hoşçakalın! Sağlıklı günler dilerim.
goodbye,Bay bay,Güle güle! Geçmiş olsun ve sağlıklı kalın.
goodbye,Güle güle,Hoşçakalın! Sağlıklı günler dilerim.
goodbye,Bye,Güle güle! Geçmiş olsun ve sağlıklı kalın.
goodbye,Teşekkürler,Görüşmek üzere! Sağlıklı kalın.
goodbye,Teşekkürler,Rica ederim! Sağlıklı günler dilerim.
goodbye,Hoşçakal,Görüşmek üzere! Sağlıklı kalın.
goodbye,Bay bay,Rica ederim! Sağlıklı günler dilerim.
goodbye,Görüşürüz,Güle güle! Geçmiş olsun ve sağlıklı kalın.
goodbye,İyi geceler,Güle güle! Geçmiş olsun ve sağlıklı kalın.
goodbye,Sağ ol,Güle güle! Geçmiş olsun ve sağlıklı kalın.
goodbye,Sağ ol,Güle güle! Geçmiş olsun ve sağlıklı kalın.
goodbye,Bye,Güle güle! Geçmiş olsun ve sağlıklı kalın.
goodbye,Allah'a ısmarladık,Güle güle! Geçmiş olsun ve sağlıklı kalın.
goodbye,Geçmiş olsun,Görüşmek üzere! Sağlıklı kalın.
goodbye,Allah'a ısmarladık,Görüşmek üzere! Sağlıklı kalın.
goodbye,Hoşçakal,Görüşmek üzere! Sağlıklı kalın.
goodbye,Güle güle,Güle güle! Geçmiş olsun ve sağlıklı kalın.
goodbye,Güle güle,Görüşmek üzere! Sağlıklı kalın.
goodbye,Elveda,Hoşçakalın! Sağlıklı günler dilerim.
goodbye,Geçmiş olsun,Görüşmek üzere! Sağlıklı kalın.
goodbye,Elveda,Rica ederim! Sağlıklı günler dilerim.
goodbye,Sağlıklı kal,Güle güle! Geçmiş olsun ve sağlıklı kalın.
goodbye,Bay bay,Görüşmek üzere! Sağlıklı kalın.
goodbye,Hoşça kal,Hoşçakalın! Sağlıklı günler dilerim.
goodbye,Geçmiş olsun,Hoşçakalın! Sağlıklı günler dilerim.
goodbye,İyi geceler,Görüşmek üzere! Sağlıklı kalın.
goodbye,Sağlıklı kal,Rica ederim! Sağlıklı günler dilerim.
goodbye,Elveda,Hoşçakalın! Sağlıklı günler dilerim.
goodbye,Geçmiş olsun,Görüşmek üzere! Sağlıklı kalın.
goodbye,İyi akşamlar,Görüşmek üzere! Sağlıklı kalın.
goodbye,Geçmiş olsun,Görüşmek üzere! Sağlıklı kalın.
goodbye,İyi geceler,Güle güle! Geçmiş olsun ve sağlıklı kalın.
goodbye,Sağ ol,Rica ederim! Sağlıklı günler dilerim.
goodbye,Sağ ol,Hoşçakalın! Sağlıklı günler dilerim.
goodbye,Sağlığın yerinde olsun,Hoşçakalın! Sağlıklı günler dilerim.
goodbye,Hoşçakal,Güle güle! Geçmiş olsun ve sağlıklı kalın.
goodbye,Hoşça kal,Görüşmek üzere! Sağlıklı kalın.
goodbye,Hoşça kal,Hoşçakalın! Sağlıklı günler dilerim.
goodbye,İyi günler,Hoşçakalın! Sağlıklı günler dilerim.
goodbye,Bay bay,Hoşçakalın! Sağlıklı günler dilerim.
goodbye,Teşekkürler,Hoşçakalın! Sağlıklı günler dilerim.
goodbye,Çok teşekkürler,Hoşçakalın! Sağlıklı günler dilerim.
goodbye,Allah'a ısmarladık,Güle güle! Geçmiş olsun ve sağlıklı kalın.
goodbye,Hoşça kal,Güle güle! Geçmiş olsun ve sağlıklı kalın.
goodbye,Elveda,Görüşmek üzere! Sağlıklı kalın.
goodbye,Çok teşekkürler,Rica ederim! Sağlıklı günler dilerim.
goodbye,Sağlıklı kal,Rica ederim! Sağlıklı günler dilerim.
goodbye,İyi günler,Güle güle! Geçmiş olsun ve sağlıklı kalın.
goodbye,Şifalar dilerim,Görüşmek üzere! Sağlıklı kalın.
goodbye,Bye,Rica ederim! Sağlıklı günler dilerim.
goodbye,Sağlığın yerinde olsun,Rica ederim! Sağlıklı günler dilerim.
goodbye,İyi akşamlar,Güle güle! Geçmiş olsun ve sağlıklı kalın.
goodbye,İyi geceler,Hoşçakalın! Sağlıklı günler dilerim.
goodbye,Çok teşekkürler,Görüşmek üzere! Sağlıklı kalın.
goodbye,Hoşçakal,Güle güle! Geçmiş olsun ve sağlıklı kalın.
goodbye,Sağlıklı kal,Rica ederim! Sağlıklı günler dilerim.
goodbye,İyi günler,Rica ederim! Sağlıklı günler dilerim.
goodbye,İyi akşamlar,Güle güle! Geçmiş olsun ve sağlıklı kalın.
goodbye,Hoşça kal,Görüşmek üzere! Sağlıklı kalın.
goodbye,Bye,Rica ederim! Sağlıklı günler dilerim.
goodbye,Çok teşekkürler,Hoşçakalın! Sağlıklı günler dilerim.
goodbye,Görüşürüz,Rica ederim! Sağlıklı günler dilerim.
goodbye,İyi günler,Güle güle! Geçmiş olsun ve sağlıklı kalın.
goodbye,İyi geceler,Rica ederim! Sağlıklı günler dilerim.
goodbye,Güle güle,Rica ederim! Sağlıklı günler dilerim.
goodbye,İyi akşamlar,Rica ederim! Sağlıklı günler dilerim.
goodbye,Sağ ol,Güle güle! Geçmiş olsun ve sağlıklı kalın.
goodbye,Sağlığın yerinde olsun,Görüşmek üzere! Sağlıklı kalın.
goodbye,Hoşçakal,Görüşmek üzere! Sağlıklı kalın.
goodbye,Kendine iyi bak,Güle güle! Geçmiş olsun ve sağlıklı kalın.
goodbye,Güle güle,Güle güle! Geçmiş olsun ve sağlıklı kalın.
goodbye,İyi günler,Rica ederim! Sağlıklı günler dilerim.
goodbye,Sağ ol,Görüşmek üzere! Sağlıklı kalın.
goodbye,Sağlığın yerinde olsun,Güle güle! Geçmiş olsun ve sağlıklı kalın.
goodbye,Şifalar dilerim,Hoşçakalın! Sağlıklı günler dilerim.
goodbye,Sağ ol,Hoşçakalın! Sağlıklı günler dilerim.
goodbye,Bay bay,Rica ederim! Sağlıklı günler dilerim.
goodbye,İyi günler,Görüşmek üzere! Sağlıklı kalın.
goodbye,Geçmiş olsun,Rica ederim! Sağlıklı günler dilerim.
goodbye,Elveda,Görüşmek üzere! Sağlıklı kalın.
goodbye,Sağlıklı kal,Güle güle! Geçmiş olsun ve sağlıklı kalın.
goodbye,Geçmiş olsun,Rica ederim! Sağlıklı günler dilerim.
goodbye,Geçmiş olsun,Görüşmek üzere! Sağlıklı kalın.
goodbye,Sağlığın yerinde olsun,Görüşmek üzere! Sağlıklı kalın.
goodbye,Sağlığın yerinde olsun,Görüşmek üzere! Sağlıklı kalın.
goodbye,Güle güle,Görüşmek üzere! Sağlıklı kalın.
goodbye,Sağlığın yerinde olsun,Rica ederim! Sağlıklı günler dilerim.
goodbye,Çok teşekkürler,Görüşmek üzere! Sağlıklı kalın.
goodbye,Görüşürüz,Rica ederim! Sağlıklı günler dilerim.
goodbye,Güle güle,Hoşçakalın! Sağlıklı günler dilerim.
goodbye,Sağlığın yerinde olsun,Hoşçakalın! Sağlıklı günler dilerim.
goodbye,Hoşça kal,Güle güle! Geçmiş olsun ve sağlıklı kalın.
goodbye,Allah'a ısmarladık,Güle güle! Geçmiş olsun ve sağlıklı kalın.
goodbye,Güle güle,Güle güle! Geçmiş olsun ve sağlıklı kalın.
goodbye,Güle güle,Hoşçakalın! Sağlıklı günler dilerim.
goodbye,Bay bay,Güle güle! Geçmiş olsun ve sağlıklı kalın.
goodbye,Çok teşekkürler,Hoşçakalın! Sağlıklı günler dilerim.
goodbye,Sağlığın yerinde olsun,Görüşmek üzere! Sağlıklı kalın.
goodbye,Bye,Güle güle! Geçmiş olsun ve sağlıklı kalın.
goodbye,Sağlığın yerinde olsun,Güle güle! Geçmiş olsun ve sağlıklı kalın.
goodbye,Kendine iyi bak,Hoşçakalın! Sağlıklı günler dilerim.
goodbye,Sağlıklı kal,Rica ederim! Sağlıklı günler dilerim.
goodbye,İyi günler,Güle güle! Geçmiş olsun ve sağlıklı kalın.
goodbye,Teşekkürler,Hoşçakalın! Sağlıklı günler dilerim.
goodbye,Görüşürüz,Hoşçakalın! Sağlıklı günler dilerim.
goodbye,Hoşçakal,Rica ederim! Sağlıklı günler dilerim.
goodbye,İyi günler,Görüşmek üzere! Sağlıklı kalın.
goodbye,Görüşürüz,Güle güle! Geçmiş olsun ve sağlıklı kalın.
goodbye,Sağlıklı kal,Hoşçakalın! Sağlıklı günler dilerim.
goodbye,Allah'a ısmarladık,Görüşmek üzere! Sağlıklı kalın.
emergency,Acil yardım,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,112,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Ambulans,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Acil servis,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Kalp krizi,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Felç,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Nefes alamıyorum,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Bayılacak gibiyim,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Çok kötüyüm,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Ölüyorum,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Kan kusuyorum,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Göğsüm çok ağrıyor,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Sol kolum uyuştu,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Konuşamıyorum,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Yürüyemiyorum,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Gözüm görmüyor,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Çok şiddetli ağrı,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Bilinçsizlik,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Epilepsi nöbeti,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Astım krizi,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Şiddetli alerjik reaksiyon,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Kaza geçirdim,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Düştüm kafam çarptı,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Çok fazla kan kaybı,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Zehirlendim,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,İlaç zehirlenmesi,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Çok yüksek ateş,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Şiddetli kusma,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Karnım çok ağrıyor,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Apandisit,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Kan kusuyorum ne yapmalıyım,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Apandisit,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Çok şiddetli ağrı var,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Zehirlendim,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Gözüm görmüyor,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Gözüm görmüyor,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Kan kusuyorum ne yapmalıyım,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Göğsüm çok ağrıyor,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Astım krizi,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Ambulans,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Ölüyorum galiba,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Yürüyemiyorum,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Acil yardım,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Sol kolum uyuştu tehlikeli mi,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Çok şiddetli ağrı var,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,İlaç zehirlenmesi,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Zehirlendim,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Bayılacak gibiyim çok kötüyüm,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Sol kolum uyuştu,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Konuşamıyorum,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Epilepsi nöbeti geçiriyorum,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Bayılacak gibiyim,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Ölüyorum,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Gözüm görmüyor,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Sol kolum uyuştu,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Bilinçsizlik,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Kalp krizi geçiriyorum,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Ölüyorum,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Ambulans çağırmalı mıyım,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Yürüyemiyorum,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Acil servis,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Epilepsi nöbeti,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Çok fazla kan kaybı,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Kalp krizi geçiriyorum,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Yürüyemiyorum,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Kaza geçirdim,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Çok fazla kan kaybı,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Göğsüm çok ağrıyor,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Nefes alamıyorum,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Şiddetli alerjik reaksiyon,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Ambulans,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Bilinçsizlik,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Kaza geçirdim,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Göğsüm çok ağrıyor,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Karnım çok ağrıyor,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Acil yardım,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Ölüyorum,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Bayılacak gibiyim,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Göğsüm çok ağrıyor,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Hemen 112 aramam gerekiyor mu,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Çok kötüyüm,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
