intent,example_sentence,response_template
emergency,Karnım çok ağrıyor,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Kan kusuyorum ne yapmalıyım,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Kaza geçirdim,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Ölüyorum galiba,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Bayılacak gibiyim,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Felç belirtileri var,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Sol kolum uyuştu,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Apandisit,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Yürüyemiyorum ne yapmalıyım,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Acil yardım,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Karnım çok ağrıyor,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Acil servise gitmeli miyim,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Göğsüm çok ağrıyor,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Göğsüm çok ağrıyor kötü hissediyorum,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Ambulans,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Nefes alamıyorum,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Apandisit,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Nefes alamıyorum yardım,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Gözüm görmüyor,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Bilinç kaybı yaşıyorum,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Nefes alamıyorum yardım,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Acil yardım lazım,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Epilepsi nöbeti geçiriyorum,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Sol kolum uyuştu,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Astım krizi,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Bilinç kaybı yaşıyorum,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Bayılacak gibiyim çok kötüyüm,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Gözüm görmüyor çok korkuyorum,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Hemen 112 aramam gerekiyor mu,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Kaza geçirdim,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,112,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Hemen 112 aramam gerekiyor mu,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Gözüm görmüyor,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Kalp krizi geçiriyorum,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Astım krizi,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Sol kolum uyuştu tehlikeli mi,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Nefes alamıyorum yardım,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Düştüm kafam çarptı,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
emergency,Şiddetli kusma,ACİL DURUM: Lütfen derhal 112'yi arayın veya en yakın acil servise gidin!
common_symptoms,Baş ağrısı,Baş ağrınız için bolca su için dinlenin. Eğer şiddetli ve sürekli ise doktora başvurun.
common_symptoms,Ateş,Ateşiniz varsa dinlenin bol sıvı tüketin. 38.5°C üzerinde ise doktor kontrolü önerilir.
common_symptoms,Öksürük,Öksürük için ıhlamur çayı içebilir dinlenebilirsiniz. 2 haftadan fazla sürerse doktora gidin.
common_symptoms,Boğaz ağrısı,Boğaz ağrısı için ılık tuzlu su ile gargara yapabilirsiniz. Şiddetli ise doktor kontrolü gerekli.
common_symptoms,Mide ağrısı,Mide ağrısı için hafif yiyecekler tüketin. Şiddetli ve sürekli ise doktora başvurun.
common_symptoms,Baş dönmesi,Baş dönmesi yaşıyorsanız oturun veya uzanın. Sık tekrarlanıyorsa doktor kontrolü gerekli.
common_symptoms,Halsizlik,Halsizlik için dinlenin ve beslenmenize dikkat edin. Uzun sürerse doktora başvurun.
common_symptoms,Uykusuzluk,Uykusuzluk için düzenli uyku saatleri oluşturun. Kronik ise uzman yardımı alın.
common_symptoms,Stres,Stres için nefes egzersizleri yapın meditasyon deneyin. Uzun sürerse psikolog desteği alın.
common_symptoms,Sinirlilik,Sinirlilik hissi için derin nefes alın ve sakinleşmeye çalışın. Sürekli ise uzman yardımı alın.
common_symptoms,Başım ağrıyor,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Migrenimvar,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Yutkunamıyorum,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Uyuyamıyorum,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Boğazım şişti,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Midem ağrıyor,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Boğazım kurdu,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Öksürük var,"öksürük ilacı iç"
common_symptoms,Sinirlerim bozuk,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Başım dönüyor,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Gecenin köründe uyanıyorum,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Sinirlerim bozuk,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Hazımsızlık,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Karın ağrısı,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Endişe,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Kuru öksürük,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Öfkeliyim,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Uyuyamıyorum,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Yutkunamıyorum,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Sabırsızlık,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Midem ağrıyor,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Uyuyamıyorum,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Enerjim yok,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Midmede yanma,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Boğazım kurdu,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Denge kaybı,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,İnsomnia,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Stresim var,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Öfkeliyim,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Boğazım şişti,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Kuru öksürük,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Panik,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Gerginlik,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Migrenimvar,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Başım dönüyor,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Başım dönüyor,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Kuru öksürük,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Ateşim çıktı,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Ayağa kalkamıyorum,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Ateşim var,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Başım dönüyor,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Gerginlik,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Sersemlik,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Denge kaybı,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Ateşim var,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Halsizlik hissediyorum,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Halsizlik hissediyorum,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Yorgunum,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Boğazım şişti,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Humma var,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Uykum kaçtı,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Gecenin köründe uyanıyorum,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Hazımsızlık,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Öfkeliyim,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Boğazım şişti,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,İnsomnia,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Balgamlı öksürük,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Balgamlı öksürük,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Enerjim yok,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Gecenin köründe uyanıyorum,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Karın ağrısı,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Ayağa kalkamıyorum,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Boğazım kurdu,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Migrenimvar,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Öfkeliyim,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Ayağa kalkamıyorum,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Boğazım ağrıyor,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Baş ağrısı var,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Stresim var,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Tahammülsüzlük,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Gecenin köründe uyanıyorum,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Kuru öksürük,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Ateşim var,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Midmede yanma,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Karın ağrısı,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Panik,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Sersemlik,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Halsizlik hissediyorum,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Ayağa kalkamıyorum,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Sabırsızlık,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Başım ağrıyor,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Karın ağrısı,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Başım ağrıyor,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Endişe,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Ateşim çıktı,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Vücut sıcaklığım yüksek,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Panik,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Boğazım kurdu,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Boğazım kurdu,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Bitkinim,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Baş ağrısı var,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Karın ağrısı,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Halsizlik hissediyorum,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Vücut sıcaklığım yüksek,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Karın ağrısı,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Boğazım ağrıyor,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Halsizlik hissediyorum,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Midem ağrıyor,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Uykum kaçtı,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Baş ağrısı var,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Stresim var,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Sersemlik,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,İnsomnia,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Kafam ağrıyor,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Kuru öksürük,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Ateşim var,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Sersemlik,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Boğazım kurdu,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Vücut sıcaklığım yüksek,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
common_symptoms,Kafam ağrıyor,"Semptomlarınız için genel öneriler verebilirim, ancak uzun sürerse doktor kontrolü önerilir."
health_advice,Meditasyon,Sağlıklı yaşam için Meditasyon konusunda önerilerim var.
health_advice,Diş sağlığı,Sağlıklı yaşam için Diş sağlığı konusunda önerilerim var.
health_advice,Yaşlı sağlığı,Sağlıklı yaşam için Yaşlı sağlığı konusunda önerilerim var.
health_advice,Kemik sağlığı,Sağlıklı yaşam için Kemik sağlığı konusunda önerilerim var.
health_advice,Diyet,Sağlıklı yaşam için Diyet konusunda önerilerim var.
health_advice,Mental sağlık,Sağlıklı yaşam için Mental sağlık konusunda önerilerim var.
health_advice,Bağışıklık,Sağlıklı yaşam için Bağışıklık konusunda önerilerim var.
health_advice,Su içme,Sağlıklı yaşam için Su içme konusunda önerilerim var.
health_advice,Göz sağlığı,Sağlıklı yaşam için Göz sağlığı konusunda önerilerim var.
health_advice,Meditasyon,Sağlıklı yaşam için Meditasyon konusunda önerilerim var.
health_advice,Adölesan sağlığı,Sağlıklı yaşam için Adölesan sağlığı konusunda önerilerim var.
health_advice,Kalp sağlığı,Sağlıklı yaşam için Kalp sağlığı konusunda önerilerim var.
health_advice,Kilo verme,Sağlıklı yaşam için Kilo verme konusunda önerilerim var.
health_advice,Emzirme,Sağlıklı yaşam için Emzirme konusunda önerilerim var.
health_advice,Su içme,Sağlıklı yaşam için Su içme konusunda önerilerim var.
health_advice,Kalp sağlığı,Sağlıklı yaşam için Kalp sağlığı konusunda önerilerim var.
health_advice,Kilo verme,Sağlıklı yaşam için Kilo verme konusunda önerilerim var.
health_advice,Vitamin,Sağlıklı yaşam için Vitamin konusunda önerilerim var.
health_advice,Emzirme,Sağlıklı yaşam için Emzirme konusunda önerilerim var.
health_advice,Spor,Sağlıklı yaşam için Spor konusunda önerilerim var.
health_advice,Kadın sağlığı,Sağlıklı yaşam için Kadın sağlığı konusunda önerilerim var.
health_advice,Kadın sağlığı,Sağlıklı yaşam için Kadın sağlığı konusunda önerilerim var.
health_advice,Spor,Sağlıklı yaşam için Spor konusunda önerilerim var.
health_advice,Çocuk sağlığı,Sağlıklı yaşam için Çocuk sağlığı konusunda önerilerim var.
health_advice,Bağışıklık,Sağlıklı yaşam için Bağışıklık konusunda önerilerim var.
health_advice,Kilo verme,Sağlıklı yaşam için Kilo verme konusunda önerilerim var.
health_advice,Egzersiz,Sağlıklı yaşam için Egzersiz konusunda önerilerim var.
health_advice,Diş sağlığı,Sağlıklı yaşam için Diş sağlığı konusunda önerilerim var.
health_advice,Yaşlı sağlığı,Sağlıklı yaşam için Yaşlı sağlığı konusunda önerilerim var.
health_advice,Emzirme,Sağlıklı yaşam için Emzirme konusunda önerilerim var.
health_advice,Kemik sağlığı,Sağlıklı yaşam için Kemik sağlığı konusunda önerilerim var.
health_advice,Diş sağlığı,Sağlıklı yaşam için Diş sağlığı konusunda önerilerim var.
health_advice,Beyin sağlığı,Sağlıklı yaşam için Beyin sağlığı konusunda önerilerim var.
health_advice,Vitamin,Sağlıklı yaşam için Vitamin konusunda önerilerim var.
health_advice,Diyet,Sağlıklı yaşam için Diyet konusunda önerilerim var.
health_advice,Stres yönetimi,Sağlıklı yaşam için Stres yönetimi konusunda önerilerim var.
health_advice,Sağlıklı beslenme,Sağlıklı yaşam için Sağlıklı beslenme konusunda önerilerim var.
health_advice,Su içme,Sağlıklı yaşam için Su içme konusunda önerilerim var.
health_advice,Beyin sağlığı,Sağlıklı yaşam için Beyin sağlığı konusunda önerilerim var.
health_advice,Stres yönetimi,Sağlıklı yaşam için Stres yönetimi konusunda önerilerim var.
health_advice,Diş sağlığı,Sağlıklı yaşam için Diş sağlığı konusunda önerilerim var.
health_advice,Diş sağlığı,Sağlıklı yaşam için Diş sağlığı konusunda önerilerim var.
health_advice,Meditasyon,Sağlıklı yaşam için Meditasyon konusunda önerilerim var.
health_advice,Beyin sağlığı,Sağlıklı yaşam için Beyin sağlığı konusunda önerilerim var.
health_advice,Vitamin,Sağlıklı yaşam için Vitamin konusunda önerilerim var.
health_advice,Egzersiz,Sağlıklı yaşam için Egzersiz konusunda önerilerim var.
health_advice,Alkol,Sağlıklı yaşam için Alkol konusunda önerilerim var.
health_advice,Meditasyon,Sağlıklı yaşam için Meditasyon konusunda önerilerim var.
health_advice,Kilo verme,Sağlıklı yaşam için Kilo verme konusunda önerilerim var.
health_advice,Sağlıklı beslenme,Sağlıklı yaşam için Sağlıklı beslenme konusunda önerilerim var.
health_advice,Bağışıklık,Sağlıklı yaşam için Bağışıklık konusunda önerilerim var.
health_advice,Çocuk sağlığı,Sağlıklı yaşam için Çocuk sağlığı konusunda önerilerim var.
health_advice,Beyin sağlığı,Sağlıklı yaşam için Beyin sağlığı konusunda önerilerim var.
health_advice,Yaşlı sağlığı,Sağlıklı yaşam için Yaşlı sağlığı konusunda önerilerim var.
health_advice,Emzirme,Sağlıklı yaşam için Emzirme konusunda önerilerim var.
health_advice,Kalp sağlığı,Sağlıklı yaşam için Kalp sağlığı konusunda önerilerim var.
health_advice,Kemik sağlığı,Sağlıklı yaşam için Kemik sağlığı konusunda önerilerim var.
health_advice,Bağışıklık,Sağlıklı yaşam için Bağışıklık konusunda önerilerim var.
health_advice,Kemik sağlığı,Sağlıklı yaşam için Kemik sağlığı konusunda önerilerim var.
health_advice,Göz sağlığı,Sağlıklı yaşam için Göz sağlığı konusunda önerilerim var.
health_advice,Stres yönetimi,Sağlıklı yaşam için Stres yönetimi konusunda önerilerim var.
